Ref,Val,Package,PosX,PosY,Rot,Side
"AE1","ESP32_ANT","ESP32_ANT",122.690000,-66.270000,0.000000,top
"C1","22PF","GRM0335C1H220JA01D",128.940000,-84.890000,180.000000,top
"C2","22PF","GRM0335C1H220JA01D",128.620000,-90.180000,-90.000000,top
"C3","100PF","GRM0335C1H101JA01D",128.940000,-83.600000,180.000000,top
"C4","0.1uf","GRM033C81E104KE14D",127.250000,-90.195000,-90.000000,top
"C5","10nf","MSASJ021SB5103KWNA01",127.640000,-80.690000,0.000000,top
"C6","3.3nf","GRM022R60J332KE19L",127.400000,-82.450000,-90.000000,top
"C7","3.9 pf","GRM0335C1H3R9BA01D",123.723000,-80.650000,0.000000,top
"C9","0.1uf","GRM033C81E104KE14D",128.826655,-81.563345,-135.000000,top
"C10","0.1uf","GRM033C81E104KE14D",122.730000,-78.600000,180.000000,top
"C11","1uf","GRM033R60J105MEA2D",115.837000,-82.000000,180.000000,top
"C12","10uf","GRM21BR61E106KA73L",115.920000,-84.770000,-90.000000,top
"C13","10uf","GRM21BR61E106KA73L",118.140000,-79.900000,90.000000,top
"C15","2.4 pf","GRM0335C1H2R4BA01D",127.363000,-79.040000,180.000000,top
"C16","270 pf","GRM033R71E271KA01D",122.073000,-80.260000,0.000000,top
"C17","270 pf","GRM033R71E271KA01D",120.833000,-80.270000,0.000000,top
"C18","1uf","GRM033R60J105MEA2D",115.810000,-91.567000,90.000000,top
"C19","0.1uf","GRM033C81E104KE14D",115.530000,-87.110000,0.000000,top
"C20","1uf","GRM033R60J105MEA2D",126.790000,-84.197000,90.000000,top
"D1","~","ESD3.3V88D-C",115.605000,-79.382500,-90.000000,top
"IC1","ESP32-D0WDQ6","ESP32-D0WDQ6",121.800000,-85.370000,-90.000000,top
"IC3","FLASH","W25Q32JVSSIQ_TR",121.800000,-92.200000,180.000000,top
"L1","2.7nH","AIMC-0603-2N7S-T",125.310000,-79.850000,-90.000000,top
"R1","20K","ERJ-XGNJ203Y",126.380000,-82.464000,-90.000000,top
"U1","40MHZ","ABM11W-40.0000MHZ-4-B1U-T3",128.182000,-87.377000,180.000000,top
"a1","~","cas_hol_esp32_1",113.480000,-78.340000,0.000000,top
"a2","~","cas_hol_esp32_2",121.710000,-95.050000,0.000000,top
"a3","~","cas_hol_esp32_3",131.520000,-95.600000,180.000000,top
